行 451: 控件 WindowsMediaPlayer1 的类 WMPLibCtl.WindowsMediaPlayer 不是一个已加载的控件类。
行 458: 属性名 URL 在 WindowsMediaPlayer1 中是无效的。
行 459: 属性名 rate 在 WindowsMediaPlayer1 中是无效的。
行 460: 属性名 balance 在 WindowsMediaPlayer1 中是无效的。
行 461: 属性名 currentPosition 在 WindowsMediaPlayer1 中是无效的。
行 462: 属性名 defaultFrame 在 WindowsMediaPlayer1 中是无效的。
行 463: 属性名 playCount 在 WindowsMediaPlayer1 中是无效的。
行 464: 属性名 autoStart 在 WindowsMediaPlayer1 中是无效的。
行 465: 属性名 currentMarker 在 WindowsMediaPlayer1 中是无效的。
行 466: 属性名 invokeURLs 在 WindowsMediaPlayer1 中是无效的。
行 467: 属性名 baseURL 在 WindowsMediaPlayer1 中是无效的。
行 468: 属性名 volume 在 WindowsMediaPlayer1 中是无效的。
行 469: 属性名 mute 在 WindowsMediaPlayer1 中是无效的。
行 470: 属性名 uiMode 在 WindowsMediaPlayer1 中是无效的。
行 471: 属性名 stretchToFit 在 WindowsMediaPlayer1 中是无效的。
行 472: 属性名 windowlessVideo 在 WindowsMediaPlayer1 中是无效的。
行 474: 属性名 enableContextMenu 在 WindowsMediaPlayer1 中是无效的。
行 475: 属性名 fullScreen 在 WindowsMediaPlayer1 中是无效的。
行 476: 属性名 SAMIStyle 在 WindowsMediaPlayer1 中是无效的。
行 477: 属性名 SAMILang 在 WindowsMediaPlayer1 中是无效的。
行 478: 属性名 SAMIFilename 在 WindowsMediaPlayer1 中是无效的。
行 479: 属性名 captioningID 在 WindowsMediaPlayer1 中是无效的。
行 480: 属性名 enableErrorDialogs 在 WindowsMediaPlayer1 中是无效的。
行 481: 属性名 _cx 在 WindowsMediaPlayer1 中是无效的。
行 482: 属性名 _cy 在 WindowsMediaPlayer1 中是无效的。
